"","Grid","Continent"
"4907",4907,"North America"
"4908",4908,"North America"
"4909",4909,"North America"
"4910",4910,"North America"
"4911",4911,"North America"
"4912",4912,"North America"
"4913",4913,"North America"
"4914",4914,"North America"
"4915",4915,"North America"
"4916",4916,"North America"
"4917",4917,"North America"
"4918",4918,"North America"
"4919",4919,"North America"
"4920",4920,"North America"
"4921",4921,"North America"
"4922",4922,"North America"
"4923",4923,"North America"
"4924",4924,"North America"
"4925",4925,"North America"
"4926",4926,"North America"
"4927",4927,"North America"
"4928",4928,"North America"
"4929",4929,"North America"
"4930",4930,"North America"
"4931",4931,"North America"
"4932",4932,"North America"
"4933",4933,"North America"
"4934",4934,"North America"
"4935",4935,"North America"
"4936",4936,"North America"
"4937",4937,"North America"
"4938",4938,"North America"
"4939",4939,"North America"
"4940",4940,"North America"
"4941",4941,"North America"
"4942",4942,"North America"
"4943",4943,"North America"
"5033",5033,"Eurasia"
"5034",5034,"Eurasia"
"5035",5035,"Eurasia"
"5036",5036,"Eurasia"
"5037",5037,"Eurasia"
"5072",5072,"Eurasia"
"5074",5074,"Eurasia"
"5075",5075,"Eurasia"
"5076",5076,"Eurasia"
"5077",5077,"Eurasia"
"5078",5078,"Eurasia"
"5079",5079,"Eurasia"
"5080",5080,"Eurasia"
"5081",5081,"Eurasia"
"5082",5082,"Eurasia"
"5083",5083,"Eurasia"
"5084",5084,"Eurasia"
"5085",5085,"Eurasia"
"5086",5086,"Eurasia"
"5087",5087,"Eurasia"
"5088",5088,"Eurasia"
"5089",5089,"Eurasia"
"5090",5090,"Eurasia"
"5091",5091,"Eurasia"
"5092",5092,"Eurasia"
"5093",5093,"Eurasia"
"5094",5094,"Eurasia"
"5095",5095,"Eurasia"
"5096",5096,"Eurasia"
"5097",5097,"Eurasia"
"5098",5098,"Eurasia"
"5100",5100,"Eurasia"
"5101",5101,"Eurasia"
"5102",5102,"Eurasia"
"5104",5104,"Eurasia"
"5118",5118,"Eurasia"
"5138",5138,"Eurasia"
"5139",5139,"Eurasia"
"5252",5252,"North America"
"5253",5253,"North America"
"5254",5254,"North America"
"5255",5255,"North America"
"5256",5256,"North America"
"5257",5257,"North America"
"5258",5258,"North America"
"5260",5260,"North America"
"5261",5261,"North America"
"5262",5262,"North America"
"5263",5263,"North America"
"5265",5265,"North America"
"5268",5268,"North America"
"5271",5271,"North America"
"5272",5272,"North America"
"5273",5273,"North America"
"5274",5274,"North America"
"5278",5278,"North America"
"5280",5280,"North America"
"5281",5281,"North America"
"5282",5282,"North America"
"5283",5283,"North America"
"5286",5286,"North America"
"5287",5287,"North America"
"5288",5288,"North America"
"5289",5289,"North America"
"5290",5290,"North America"
"5294",5294,"North America"
"5295",5295,"North America"
"5296",5296,"North America"
"5298",5298,"North America"
"5299",5299,"North America"
"5300",5300,"North America"
"5301",5301,"North America"
"5302",5302,"North America"
"5303",5303,"North America"
"5305",5305,"North America"
"5306",5306,"North America"
"5307",5307,"North America"
"5308",5308,"North America"
"5309",5309,"North America"
"5335",5335,"North America"
"5336",5336,"North America"
"5337",5337,"North America"
"5338",5338,"North America"
"5339",5339,"North America"
