grid_id,n,pd,mpd,raoq,fd,fdr,type
33805,350,13192.311655818292,249.11505710400212,19.364385224538168,6118.142661579518,2.9713782578395365,mean
33806,320,12717.137214701028,250.15746828494966,19.305666894971054,5360.522795081375,2.9224844719950465,mean
33820,254,11214.538175887812,252.84935837320614,19.139804674576148,4060.7922197078774,2.822505161371725,mean
33821,187,9290.583311537432,258.6025247085091,19.78017694319187,3156.658378932316,2.734334846386121,mean
33827,188,8888.735645488796,258.5658470224721,19.03706830722601,2571.2327142388845,2.665301531065643,mean
33894,38,3366.23515442132,352.54329231659864,21.310736937840694,93.70116976170692,1.7576820341702932,mean
33895,38,3316.81291648174,339.88286692652116,21.026963750091845,88.73822237213916,1.747373587795441,mean
33896,38,3324.45750967132,332.37188282573095,20.859393836348346,96.66423924098439,1.763694476639374,mean
33897,38,3325.2977949712,334.75530832233915,20.672424131563787,98.10433258940205,1.76959386889183,mean
33898,38,3366.1923088915,333.29467314522833,20.80034628301821,102.3742704274677,1.7763780416922608,mean
33899,38,3354.21504416174,333.0355723670048,20.51187154327101,92.5967326005877,1.754621779743261,mean
33900,34,3201.80269955156,345.6880200335677,20.206091364131982,66.4213942243561,1.6838426506366875,mean
33901,34,3159.56987808168,340.09690985539294,20.816213945771445,87.13917508374865,1.7399741913766924,mean
33902,32,3022.16161608132,348.783991939397,19.993386736318257,62.13612396320342,1.6611811099682645,mean
33903,34,3197.59587828174,340.0196408657708,20.386534288716927,82.88722337839097,1.729251369689784,mean
33904,32,3036.76526136156,338.9586296127185,19.406219527975825,54.02548034833811,1.6388673566465553,mean
33905,32,3066.5905356815,344.5645101451744,19.67596217554829,55.343780807479554,1.6446754514775115,mean
33906,32,3060.2990972615,341.332919602876,19.451319552825986,53.62251599304216,1.6369777995780357,mean
33907,34,3202.21757518132,331.7539590810402,19.196692747111655,62.10213463253528,1.6697540652221567,mean
33908,34,3232.78254452156,336.2642266355998,19.682667466971605,75.0726014817558,1.7095897298101042,mean
33909,35,3249.78440870198,330.71781755534005,19.641310934728995,74.87813344864033,1.7072471957524178,mean
33910,34,3166.051015553596,319.1694380844896,19.411098492535906,70.42316912780852,1.6945773101472412,mean
33911,32,3032.9486267014718,307.1749431146888,19.17722973939593,58.38573319588233,1.6564860225752993,mean
33912,33,3066.650468351536,313.13895872588853,19.029760508543028,62.71010358241926,1.6720510826306805,mean
33913,36,3183.397673991152,307.0052445864767,20.034414044601565,87.49001832511381,1.7458526347610408,mean
33914,36,3221.037717311536,306.13262549748214,20.29002653524559,97.2823338291945,1.7659094284803227,mean
33915,34,3002.7115196716,307.00201617521,20.71755297745,86.63196693048266,1.743488797734846,mean
33916,34,3029.895564261536,318.4702716629424,20.709645761717567,89.81022739818846,1.7454040016622863,mean
33917,34,3057.422537331984,311.0855514102058,20.37579371829329,90.69670242597275,1.7485677843080674,mean
33918,35,3066.258212521536,315.6306610686592,20.373413277004527,90.55141087382574,1.7463199985533553,mean
33919,32,2935.256682901024,315.34291990441886,20.979882763181,81.93468516860959,1.7279294524055273,mean
33920,33,3000.833192241792,303.7804750248056,21.12561532615771,95.03065139477927,1.761086498863891,mean
33921,34,3059.160498411536,311.52393594825435,21.140976294280694,96.0074564026299,1.7623498796836803,mean
33922,38,3259.597351291344,295.3122886622329,20.88844591094341,135.21510969522345,1.8377175432686625,mean
33923,39,3261.043103621472,300.55139398447494,20.738863029967664,126.69721255321095,1.8258506102184466,mean
33924,32,2966.1181106612157,315.0521467900357,21.190599450061036,91.76904571490469,1.7515325314352062,mean
33925,32,2966.082263861536,325.4722513758218,20.763546703655106,86.67704221278005,1.7379839935332055,mean
33926,31,2878.533816941536,327.77875733153996,21.253821396515768,78.5522672803892,1.71789782663123,mean
33927,31,2912.734475011664,327.97335323146217,21.32799682845312,83.15474469666201,1.7322573312619318,mean
33928,32,2911.345800071728,321.3076918844225,21.07180126998519,89.05894894565041,1.7471954366284723,mean
33929,29,2784.403942071984,332.8712649938807,21.50823276674729,66.96390608798086,1.6814923333824665,mean
33930,28,2722.269087411664,323.30259088371673,20.65849759949665,55.04050458542195,1.6404759547086007,mean
33931,28,2679.0056402518558,324.88987398896853,21.47883746875971,56.38161760281477,1.649600676406225,mean
33932,29,2756.751888261792,317.39378775056696,21.227702377988003,69.786842930068,1.6906039514974054,mean
33933,30,2788.460632951472,319.58329366363836,22.218755627217952,82.44310826992051,1.7274655191205206,mean
33934,32,2972.039420041472,331.4790613415436,21.839012636159364,92.73813914712997,1.7560565689837722,mean
33935,32,2960.135243521408,336.58109590863637,21.503641029207564,84.6533377158553,1.7352084237333625,mean
33936,30,2844.984153251472,344.3461099519602,21.547203162632496,77.11026631340887,1.7150424987836899,mean
33937,30,2846.5637603016,333.20546988341704,21.073249899802505,70.74291498321726,1.6944259594543374,mean
